timestamp,listening,est_unreachable,knots_count,core_v30_count,bip110_count,total_count,datetime,date
1493334360,7449,37358,,,,44807,2017-04-27 23:06:00+00:00,4/27/17
1493337605,7449,37358,,,,44807,2017-04-28 00:00:05+00:00,4/28/17
1493424005,7537,38081,,,,45618,2017-04-29 00:00:05+00:00,4/29/17
1493510405,7643,37748,,,,45391,2017-04-30 00:00:05+00:00,4/30/17
1493596805,7655,36941,,,,44596,2017-05-01 00:00:05+00:00,5/1/17
1493683203,7663,37515,,,,45178,2017-05-02 00:00:03+00:00,5/2/17
1493769604,7631,38505,,,,46136,2017-05-03 00:00:04+00:00,5/3/17
1493856005,7635,38289,,,,45924,2017-05-04 00:00:05+00:00,5/4/17
1493942403,7647,38520,,,,46167,2017-05-05 00:00:03+00:00,5/5/17
1494028804,7738,39756,,,,47494,2017-05-06 00:00:04+00:00,5/6/17
1494115205,7776,38561,,,,46337,2017-05-07 00:00:05+00:00,5/7/17
1494201605,7846,39136,,,,46982,2017-05-08 00:00:05+00:00,5/8/17
1494288004,7886,39139,,,,47025,2017-05-09 00:00:04+00:00,5/9/17
1494374407,7927,39312,,,,47239,2017-05-10 00:00:07+00:00,5/10/17
1494460804,7978,40444,,,,48422,2017-05-11 00:00:04+00:00,5/11/17
1494547204,8001,39812,,,,47813,2017-05-12 00:00:04+00:00,5/12/17
1494633607,8061,39996,,,,48057,2017-05-13 00:00:07+00:00,5/13/17
1494720007,8173,40001,,,,48174,2017-05-14 00:00:07+00:00,5/14/17
1494806408,8180,39043,,,,47223,2017-05-15 00:00:08+00:00,5/15/17
1494892806,8152,39480,,,,47632,2017-05-16 00:00:06+00:00,5/16/17
1494979205,8068,38518,,,,46586,2017-05-17 00:00:05+00:00,5/17/17
1495065605,8223,38655,,,,46878,2017-05-18 00:00:05+00:00,5/18/17
1495152005,8387,39323,,,,47710,2017-05-19 00:00:05+00:00,5/19/17
1495238421,8554,39961,,,,48515,2017-05-20 00:00:21+00:00,5/20/17
