software,main_version,sub_version,listening,est_unreachable,total_count,percent
Bitcoin Core,v30,v30.0.0,836,14306,15142,13.850445918134005
Bitcoin Core,v27,v27.0.0,885,13022,13907,12.720786645323576
Bitcoin Knots,v29,v29.2.0,2974,8890,11864,10.852046649897096
Bitcoin Core,v28,v28.1.0,912,8605,9517,8.70523667962497
Bitcoin Core,v30,v30.2.0,767,5470,6237,5.705008003658815
Bitcoin Core,v29,v29.0.0,438,4367,4805,4.3951520695174935
BIP110,v29,v29.3.0,283,4416,4699,4.298193459867368
Bitcoin Core,v29,v29.1.0,131,4169,4300,3.9332266178824606
Bitcoin Knots,v29,v29.3.0,212,3736,3948,3.611250857534873
other (excluded),unknown,unknown,0,3835,3835,3.5078893208323803
Bitcoin Core,v29,v29.2.0,127,3193,3320,3.0368168305511087
bitcoinj / wallets,unknown,unknown,0,2559,2559,2.340727189572376
Bitcoin Core,v27,v27.1.0,124,2329,2453,2.2437685799222504
BIP110,v29,v29.2.0,116,2217,2333,2.134004116167391
Bitcoin Core,v28,v28.0.0,160,2161,2321,2.123027669791905
Bitcoin Core,v22,v22.0.0,100,2170,2270,2.0763777726960897
Bitcoin Knots,v28,v28.1.0,104,2075,2179,1.9931397210153214
Bitcoin Core,v25,v25.0.0,128,1881,2009,1.8376400640292705
Bitcoin Core,v25,v25.1.0,428,1340,1768,1.6171964326549282
Bitcoin Core,v26,v26.0.0,92,1483,1575,1.4406585867825292
Bitcoin Core,v0.21,v0.21.1,26,1104,1130,1.0336153670249255
Bitcoin Core,v29,v29.3.0,31,1089,1120,1.0244683283786873
Bitcoin Knots,v29,v29.1.0,68,997,1065,0.9741596158243768
Bitcoin Core,v24,v24.0.1,79,959,1038,0.9494626114795336
Bitcoin Core,v23,v23.0.0,29,490,519,0.4747313057397668
Bitcoin Core,v26,v26.1.0,12,246,258,0.23599359707294765
Bitcoin Core,v27,v27.2.0,22,223,245,0.22410244683283786
Bitcoin Core,v26,v26.2.0,30,148,178,0.1628172879030414
Bitcoin Core,v30,v30.99.0,34,139,173,0.15824376857992226
Bitcoin Core,v0.21,v0.21.0,8,139,147,0.13446146809970272
Bitcoin Core,v30,v30.1.0,20,105,125,0.11433798307797849
Bitcoin Core,v28,v28.2.0,17,103,120,0.10976446375485936
Bitcoin Core,v0.20,v0.20.1,15,104,119,0.10884975989023553
Bitcoin Core,v28,v28.3.0,13,97,110,0.1006174251086211
Bitcoin Core,v0.0,v0.0.156,0,109,109,0.09970272124399725
btcsuite,unknown,unknown,11,68,79,0.07226160530528242
Bither,unknown,unknown,0,79,79,0.07226160530528242
Bitcoin Core,v0.7,v0.7.2,0,78,78,0.07134690144065858
Bitcoin Core,v29,v29.99.0,17,58,75,0.06860278984678711
bread,unknown,unknown,0,73,73,0.06677338211753946
Bitcoin Core,v0.20,v0.20.0,4,66,70,0.06402927052366796
Bitcoin Core,v0.18,v0.18.0,7,58,65,0.05945575120054883
Bitcoin Core,v0.16,v0.16.1,0,60,60,0.05488223187742968
Bitcoin Core,v24,v24.1.0,8,46,54,0.04939400868968671
Bitcoin Core,v0.19,v0.19.1,2,48,50,0.0457351932311914
Bitcoin Core,v0.15,v0.15.0,0,48,48,0.043905785501943746
Bitcoin Core,v0.14,v0.14.2,1,46,47,0.04299108163731992
other,unknown,unknown,10,36,46,0.04207637777269609
Bitcoin Core,v0.15,v0.15.1,2,43,45,0.041161673908072266
Bitcoin Core,v0.19,v0.19.0,3,41,44,0.04024697004344843
Bitcoin Core,v0.17,v0.17.1,4,38,42,0.03841756231420078
Bitcoin Core,v0.18,v0.18.1,6,35,41,0.03750285844957695
Bitcoin Core,v25,v25.2.0,4,35,39,0.03567345072032929
Bitcoin Core,v28,v28.99.0,7,29,36,0.03292933912645781
Bitcoin Core,v0.17,v0.17.0,5,31,36,0.03292933912645781
Bitcoin Core,v22,v22.1.0,3,33,36,0.03292933912645781
Bitcoin Core,v27,v27.99.0,1,33,34,0.03109993139721015
Bitcoin Core,v0.16,v0.16.0,0,28,28,0.025611708209467187
Bitcoin Core,v0.16,v0.16.3,1,27,28,0.025611708209467187
Bitcoin Core,v0.12,v0.12.1,4,23,27,0.024697004344843353
Bitcoin Core,v24,v24.0.0,4,23,27,0.024697004344843353
Bitcoin Knots,v27,v27.1.0,5,19,24,0.021952892750971873
Bitcoin Core,v26,v26.99.0,1,21,22,0.020123485021724216
Bitcoin Classic,unknown,unknown,1,20,21,0.01920878115710039
Bitcoin Core,v24,v24.2.0,3,17,20,0.018294077292476563
Bitcoin Core,v0.1,v0.1.17,0,20,20,0.018294077292476563
Bitcoin Core,v0.8,v0.8.5,1,18,19,0.017379373427852732
Bitcoin Core,v0.21,v0.21.2,3,16,19,0.017379373427852732
Bitcoin Core,v0.8,v0.8.6,2,16,18,0.016464669563228906
Bitcoin Core,v23,v23.1.0,6,10,16,0.014635261833981249
Bitcoin Core,v0.16,v0.16.2,1,15,16,0.014635261833981249
Bitcoin Core,v0.11,v0.11.2,1,14,15,0.01372055796935742
Bitcoin Core,v0.13,v0.13.0,2,13,15,0.01372055796935742
Bitcoin Core,v24,v24.99.0,4,11,15,0.01372055796935742
Bitcoin Core,v25,v25.99.0,4,11,15,0.01372055796935742
Bitcoin Core,v0.14,v0.14.1,0,12,12,0.010976446375485937
Bitcoin Core,v0.15,v0.15.99,1,11,12,0.010976446375485937
Bitcoin Core,v0.14,v0.14.0,0,11,11,0.010061742510862108
Bitcoin Core,v0.13,v0.13.1,1,9,10,0.009147038646238281
Bitcoin Core,v0.14,v0.14.99,0,10,10,0.009147038646238281
Bitcoin Core,v0.8,v0.8.3,0,9,9,0.008232334781614453
Bitcoin Core,v0.12,v0.12.0,0,9,9,0.008232334781614453
Bitcoin Core,v0.13,v0.13.2,0,9,9,0.008232334781614453
Bitcoin Core,v0.9,v0.9.3,0,9,9,0.008232334781614453
Bitcoin Core,v1,v1.0.5,0,8,8,0.007317630916990624
Bitcoin Core,v0.10,v0.10.2,0,8,8,0.007317630916990624
Bitcoin Core,v0.11,v0.11.0,0,8,8,0.007317630916990624
Bitcoin Core,v0.20,v0.20.2,1,7,8,0.007317630916990624
Bitcoin Core,v0.8,v0.8.1,0,8,8,0.007317630916990624
Bitcoin Core,v0.9,v0.9.1,0,8,8,0.007317630916990624
Bitcoin Core,v0.15,v0.15.2,1,6,7,0.006402927052366797
Bitcoin Core,v0.7,v0.7.0,0,7,7,0.006402927052366797
Bitcoin Core,v23,v23.99.0,1,6,7,0.006402927052366797
Bitcoin Knots,v0.14,v0.14.1,0,7,7,0.006402927052366797
Bitcoin Core,v0.9,v0.9.2,0,6,6,0.005488223187742968
Bitcoin Core,v0.8,v0.8.2,0,6,6,0.005488223187742968
Bitcoin Core,v0.10,v0.10.0,1,5,6,0.005488223187742968
Bitcoin Core,v0.16,v0.16.99,0,6,6,0.005488223187742968
Bitcoin Knots,v0.15,v0.15.0,0,6,6,0.005488223187742968
Bitcoin Knots,v0.14,v0.14.2,0,6,6,0.005488223187742968
Bitcoin Core,v0.10,v0.10.1,0,5,5,0.004573519323119141
Bitcoin Core,v21,v21.99.0,0,5,5,0.004573519323119141
Bitcoin Core,v22,v22.99.0,0,4,4,0.003658815458495312
Bitcoin Knots,v26,v26.1.0,0,4,4,0.003658815458495312
Bitcoin Knots,v0.15,v0.15.1,0,4,4,0.003658815458495312
btcsuite,v25,v25.0.0,0,4,4,0.003658815458495312
BIP110,unknown,unknown,3,1,4,0.003658815458495312
Bitcoin Core,v0.8,v0.8.0,0,4,4,0.003658815458495312
Bitcoin Core,v0.19,v0.19.99,1,3,4,0.003658815458495312
