ua,software,main_version,listening,est_unreachable,total_count
/Satoshi:29.0.0/,Bitcoin Core,v29,1109,19312,20421
/Satoshi:28.1.0/,Bitcoin Core,v28,744,13174,13918
/Satoshi:27.0.0/,Bitcoin Core,v27,1013,9938,10951
/Satoshi:28.1.0/Knots:20250305/,Bitcoin Knots,v28,336,8992,9328
/Satoshi:29.1.0/,Bitcoin Core,v29,462,4587,5049
/Satoshi:29.1.0/Knots:20250903/,Bitcoin Knots,v29,424,4056,4480
/Satoshi:27.1.0/,Bitcoin Core,v27,887,3528,4415
/Satoshi:28.0.0/,Bitcoin Core,v28,247,3622,3869
/WalletKit:0.1.0/,other (excluded),,0,3602,3602
/Satoshi:22.0.0/,Bitcoin Core,v22,105,3030,3135
/Satoshi:25.0.0/,Bitcoin Core,v25,160,2965,3125
/Satoshi:26.0.0/,Bitcoin Core,v26,102,2414,2516
/bitcoinj:0.16.5/Bitcoin Wallet:10.26/,bitcoinj / wallets,,0,2477,2477
/Satoshi:25.1.0/,Bitcoin Core,v25,637,1666,2303
/Satoshi:0.21.1/,Bitcoin Core,v0.21,36,1783,1819
/Satoshi:24.0.1/,Bitcoin Core,v24,97,1087,1184
/Satoshi:23.0.0/,Bitcoin Core,v23,40,620,660
/Satoshi:27.2.0/,Bitcoin Core,v27,28,329,357
/Satoshi:26.1.0/,Bitcoin Core,v26,13,271,284
/Satoshi:28.2.0/,Bitcoin Core,v28,31,224,255
/Satoshi:0.21.0/,Bitcoin Core,v0.21,13,235,248
/bread:2.1/,other (excluded),,0,234,234
/Satoshi:0.20.1/,Bitcoin Core,v0.20,12,193,205
/Satoshi:29.99.0/,Bitcoin Core,v29,28,172,200
/Bither1.6.2/,Bither,,0,170,170
/Bither:1.7.3/,other (excluded),,0,148,148
/Satoshi:27.1.0/Knots:20240801/,Bitcoin Knots,v27,10,138,148
/Satoshi:26.2.0/,Bitcoin Core,v26,10,128,138
/Satoshi:0.0.156.64/,Bitcoin Core,v0.0,0,132,132
/bitcoinj:0.16.2/,bitcoinj / wallets,,0,117,117
/Satoshi:0.18.0/,Bitcoin Core,v0.18,10,98,108
/Satoshi:0.20.0/,Bitcoin Core,v0.20,6,102,108
/Satoshi:0.18.1/,Bitcoin Core,v0.18,7,98,105
/Satoshi:0.17.1/,Bitcoin Core,v0.17,6,88,94
/btcwire:0.5.0/neutrino:0.12.0-beta/,btcsuite,,0,87,87
/Satoshi:0.16.1/,Bitcoin Core,v0.16,0,87,87
/Satoshi:28.99.0/,Bitcoin Core,v28,9,76,85
/Satoshi:0.15.1/,Bitcoin Core,v0.15,1,84,85
/Satoshi:0.7.2/,Bitcoin Core,v0.7,1,83,84
/btcwire:0.5.0/btcd:0.24.2/,btcsuite,,12,69,81
/Satoshi:0.19.0.1/,Bitcoin Core,v0.19,2,74,76
/Bither1.6.1/,Bither,,0,72,72
/vds_0.9.53/,other (excluded),,0,72,72
/hodlwallet:0.2/,other (excluded),,0,67,67
/bitcoinj:0.16.3/,bitcoinj / wallets,,0,65,65
/Satoshi:24.1.0/,Bitcoin Core,v24,3,62,65
/Satoshi:27.99.0/,Bitcoin Core,v27,7,57,64
/bcoin:2.2.0/,other (excluded),,0,64,64
/Satoshi:0.19.1/,Bitcoin Core,v0.19,4,60,64
/nebula/2.4.1-65580d4/,other (excluded),,0,63,63
/bcoin:2.1.2/,other (excluded),,0,51,51
/Satoshi:24.0.0/,Bitcoin Core,v24,7,40,47
/bitcoinj:0.16.5/Bitcoin Wallet:10.24/,bitcoinj / wallets,,0,44,44
/Satoshi:0.14.2/,Bitcoin Core,v0.14,0,44,44
/bitcoinj:0.16.2/Bitcoin Wallet:10.14/,bitcoinj / wallets,,0,43,43
/Satoshi:25.2.0/,Bitcoin Core,v25,5,37,42
/Satoshi:30.99.0/,Bitcoin Core,v30,13,27,40
/:1.0.0-dev+e79d9922c/,other (excluded),,0,39,39
/Satoshi:0.16.0/,Bitcoin Core,v0.16,0,39,39
/Satoshi:0.12.1/,Bitcoin Core,v0.12,4,34,38
/Satoshi:0.13.1/,Bitcoin Core,v0.13,1,36,37
/Satoshi:30.0.0/,Bitcoin Core,v30,19,17,36
/btcwire:0.5.0/:/,btcsuite,,0,36,36
/Satoshi:0.14.1/,Bitcoin Core,v0.14,0,34,34
/Satoshi:0.15.0.1/,Bitcoin Core,v0.15,0,33,33
/Satoshi:22.1.0/,Bitcoin Core,v22,3,30,33
/bitcoinj:0.16.1/Bitcoin Wallet:9.03/,bitcoinj / wallets,,0,32,32
/Satoshi:0.15.0/,Bitcoin Core,v0.15,0,32,32
/bitcoinj:0.16.3/Bitcoin Wallet:10.20/,bitcoinj / wallets,,0,31,31
/Satoshi:0.17.0.1/,Bitcoin Core,v0.17,3,28,31
/Satoshi:23.1.0/,Bitcoin Core,v23,8,21,29
/Satoshi:0.16.2/,Bitcoin Core,v0.16,1,28,29
/bitcoin-seeder:0.01/,other (excluded),,0,26,26
/Satoshi:26.99.0/,Bitcoin Core,v26,4,21,25
/bitcoinj:0.16.1/Bitcoin Wallet:1.0.3.3/,bitcoinj / wallets,,0,25,25
/Satoshi:0.11.2/,Bitcoin Core,v0.11,1,23,24
/Satoshi:24.2.0/,Bitcoin Core,v24,2,22,24
/Satoshi:25.99.0/,Bitcoin Core,v25,5,19,24
/bitcoinj:0.16.3/Bitcoin Wallet:10.16/,bitcoinj / wallets,,0,24,24
/bitcoinj:0.16.4/Bitcoin Wallet:10.21/,bitcoinj / wallets,,0,24,24
/Satoshi:23.0.0/Knots:20220529/,Bitcoin Knots,v23,0,23,23
/bitcoinj:0.15.10.bisq.16/Bisq:1.9.21/,bitcoinj / wallets,,0,23,23
/Satoshi:0.21.2/,Bitcoin Core,v0.21,1,21,22
/bitcoinj:0.16.1/Bitcoin Wallet:1.2.0.7/,bitcoinj / wallets,,0,22,22
/Satoshi:0.8.6/,Bitcoin Core,v0.8,4,17,21
/Satoshi:0.13.2/,Bitcoin Core,v0.13,0,19,19
/Satoshi:0.8.5/,Bitcoin Core,v0.8,2,17,19
/bitcoinj:0.16.5/Bitcoin Wallet:10.25/,bitcoinj / wallets,,0,19,19
/bitcoinj:0.16.3/Bitcoin Wallet:10.15/,bitcoinj / wallets,,0,19,19
/bitcoinj:0.16.2/Bitcoin Wallet:10.13/,bitcoinj / wallets,,0,18,18
/bitcoinj:0.16.2/Bitcoin Wallet:9.26/,bitcoinj / wallets,,0,18,18
/Satoshi:0.1.17.128/,Bitcoin Core,v0.1,0,18,18
/Satoshi:0.11.0/,Bitcoin Core,v0.11,0,17,17
/Satoshi:0.16.3/,Bitcoin Core,v0.16,2,15,17
