Date,Rank,Primary Key,Name,Symbol,Market Cap,Price,Circulating Supply,Snapshot Type,Is Stable
2026-04-06,1,BTCBitcoin,Bitcoin,BTC,1397541085679.0,69816.0,20012340.0,live,False
2026-04-06,2,ETHEthereum,Ethereum,ETH,259375946880.0,2148.53,120691214.831745,live,False
2026-04-06,3,USDTTether,Tether,USDT,184152244874.0,1.0,184151480311.9992,live,True
2026-04-06,4,BNBBNB,BNB,BNB,82718762729.0,606.54,136356829.46,live,False
2026-04-06,5,XRPXRP,XRP,XRP,82386838324.0,1.34,61405531717.0,live,False
2026-04-06,6,USDCUSDC,USDC,USDC,77857797599.0,0.999906,77866899585.82886,live,True
2026-04-06,7,SOLSolana,Solana,SOL,46982788861.0,81.99,572968493.5992956,live,False
2026-04-06,8,TRXTRON,TRON,TRX,29928818788.0,0.31578,94768523006.2328,live,False
2026-04-06,10,DOGEDogecoin,Dogecoin,DOGE,14125107869.0,0.09187,153722726383.7052,live,False
2026-04-06,14,ADACardano,Cardano,ADA,9309802325.0,0.252372,36883638424.61484,live,False
