date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2011-06-05,2011-06-05 23:50:00+00:00,16.6750000000,128873,5453,53.4311664845,53.6521391213,55.9119661443
2011-06-06,2011-06-06 23:50:00+00:00,18.3714142857,129109,5452,53.4527776804,53.6521391213,55.9119661443
2011-06-07,2011-06-07 23:50:00+00:00,23.3969883721,129276,5451,53.4715095072,53.6521391213,55.9119661443
2011-06-08,2011-06-08 23:50:00+00:00,29.6408538462,129465,5450,53.4841239231,53.6521391213,55.9119661443
2011-06-09,2011-06-09 23:50:00+00:00,28.9407000000,129686,5449,53.4920206534,53.6521391213,55.9119661443
2011-06-10,2011-06-10 23:50:00+00:00,23.8617411765,129909,5448,53.5003514276,53.6521391213,55.9119661443
2011-06-11,2011-06-11 23:50:00+00:00,14.6512000000,130162,5447,53.5125540735,53.6521391213,55.9119661443
2011-06-12,2011-06-12 23:50:00+00:00,18.7195900000,130392,5446,53.5386296757,53.6521391213,55.9119661443
2011-06-13,2011-06-13 23:50:00+00:00,19.4092722222,130621,5445,53.5569249196,53.6521391213,55.9119661443
2011-06-14,2011-06-14 23:50:00+00:00,19.3205642857,130867,5444,53.5742386040,53.6521391213,55.9119661443
2011-06-15,2011-06-15 23:50:00+00:00,19.4900000000,131146,5443,53.5916946756,53.6521391213,55.9119661443
2011-06-16,2011-06-16 23:50:00+00:00,17.3638180000,131327,5442,53.6089309235,53.6521391213,55.9119661443
2011-06-17,2011-06-17 23:50:00+00:00,15.8340642857,131513,5441,53.6295054239,53.7383732326,55.9119661443
2011-06-18,2011-06-18 23:50:00+00:00,16.8766666667,131711,5440,53.6530473780,53.7383732326,55.9119661443
2011-06-19,2011-06-19 23:50:00+00:00,17.4054672725,131932,5439,53.6745519936,53.7383732326,55.9119661443
2011-06-20,2011-06-20 23:50:00+00:00,17.4795582705,132166,5438,53.6951273128,53.7383732326,55.9119661443
2011-06-21,2011-06-21 23:50:00+00:00,17.8504829728,132419,5437,53.7155967514,53.7383732326,55.9119661443
2011-06-22,2011-06-22 23:50:00+00:00,17.9062871149,132680,5436,53.7354578720,53.7383732326,55.9119661443
2011-06-23,2011-06-23 23:50:00+00:00,18.1683975970,132920,5435,53.7552481792,53.7383732326,55.9119661443
2011-06-24,2011-06-24 23:50:00+00:00,18.5853960600,133135,5434,53.7746316140,53.9044465082,55.9119661443
2011-06-25,2011-06-25 23:50:00+00:00,17.9432756423,133280,5433,53.7933784132,53.9044465082,55.9119661443
2011-06-26,2011-06-26 23:50:00+00:00,16.3664385714,133429,5432,53.8131716812,53.9044465082,55.9119661443
2011-06-27,2011-06-27 23:50:00+00:00,16.7500666667,133598,5431,53.8358521245,53.9044465082,55.9119661443
