software,main_version,sub_version,listening,est_unreachable,total_count,percent
BIP110,v29,v29.3.0,2853,8316,11169,11.537031298419585
BIP110,v29,v29.2.0,75,1470,1545,1.5959095134800125
BIP110,unknown,unknown,3,0,3,0.0030988534242330336
Bitcoin Core,v30,v30.2.0,1179,11654,12833,13.255861997727509
Bitcoin Core,v27,v27.0.0,883,11912,12795,13.216609854353889
Bitcoin Core,v30,v30.0.0,595,8399,8994,9.290362565850636
Bitcoin Core,v28,v28.1.0,877,8078,8955,9.250077471335606
Bitcoin Core,v29,v29.0.0,428,4039,4467,4.614192748682988
Bitcoin Core,v29,v29.1.0,130,3617,3747,3.870467926867059
Bitcoin Core,v29,v29.2.0,131,2933,3064,3.1649622972833384
Bitcoin Core,v28,v28.0.0,146,2222,2368,2.446028302861275
Bitcoin Core,v27,v27.1.0,126,2115,2241,2.314843507902076
Bitcoin Core,v25,v25.1.0,407,1722,2129,2.199152980064043
Bitcoin Core,v25,v25.0.0,117,1589,1706,1.7622146472471851
Bitcoin Core,v22,v22.0.0,99,1593,1692,1.747753331267431
Bitcoin Core,v29,v29.3.0,49,1490,1539,1.589711806631546
Bitcoin Core,v26,v26.0.0,84,1324,1408,1.454395207106704
Bitcoin Core,v24,v24.0.1,81,902,983,1.015390972007024
Bitcoin Core,v0.21,v0.21.1,29,770,799,0.8253279619873981
Bitcoin Core,v23,v23.0.0,26,405,431,0.4452019419481459
Bitcoin Core,v0.20,v0.20.1,13,279,292,0.30162173329201525
Bitcoin Core,v26,v26.2.0,29,164,193,0.19935957029232515
Bitcoin Core,v27,v27.2.0,24,155,179,0.184898254312571
Bitcoin Core,v30,v30.99.0,20,112,132,0.13634955066625348
Bitcoin Core,v26,v26.1.0,11,114,125,0.1291188926763764
Bitcoin Core,v0.21,v0.21.0,7,115,122,0.12602003925214336
Bitcoin Core,v30,v30.1.0,20,86,106,0.1094928209895672
Bitcoin Core,v28,v28.2.0,12,87,99,0.10226216299969013
Bitcoin Core,v28,v28.3.0,16,80,96,0.09916330957545708
Bitcoin Core,v0.7,v0.7.2,0,74,74,0.07643838446441484
Bitcoin Core,v29,v29.99.0,15,45,60,0.061977068484660676
Bitcoin Core,v0.0,v0.0.156,0,58,58,0.05991116620183866
Bitcoin Core,v25,v25.2.0,3,53,56,0.057845263919016635
Bitcoin Core,v0.18,v0.18.0,9,42,51,0.052680508211961574
Bitcoin Core,v0.20,v0.20.0,4,47,51,0.052680508211961574
Bitcoin Core,v0.14,v0.14.2,0,47,47,0.04854870364631753
Bitcoin Core,v0.16,v0.16.1,0,45,45,0.04648280136349551
Bitcoin Core,v0.15,v0.15.1,2,40,42,0.04338394793926247
Bitcoin Core,v0.17,v0.17.1,5,34,39,0.04028509451502944
Bitcoin Core,v0.19,v0.19.0,3,35,38,0.03925214337361843
Bitcoin Core,v24,v24.1.0,7,29,36,0.03718624109079641
Bitcoin Core,v0.15,v0.15.0,0,34,34,0.03512033880797438
Bitcoin Core,v22,v22.1.0,2,31,33,0.03408738766656337
Bitcoin Core,v0.17,v0.17.0,4,27,31,0.032021485383741354
Bitcoin Core,v0.18,v0.18.1,4,26,30,0.030988534242330338
Bitcoin Core,v0.19,v0.19.1,0,30,30,0.030988534242330338
