ua,software,main_version,sub_version,listening,est_unreachable,total_count
/Satoshi:22.0.0/,Bitcoin Core,v22,v22.0.0,93,1536,1629
/Satoshi:29.3.0/Knots:20260210+bip110-v0.4.1/UASF-BIP110:0.4/,BIP110,v29,v29.3.0,185,3136,3321
/Satoshi:0.16.1/,Bitcoin Core,v0.16,v0.16.1,0,52,52
/Satoshi:29.0.0/,Bitcoin Core,v29,v29.0.0,362,4075,4437
/Satoshi:29.2.0/,Bitcoin Core,v29,v29.2.0,103,2360,2463
/Satoshi:29.3.0/Knots:20260210+bip110-v0.3/UASF-BIP110:0.1/,BIP110,v29,v29.3.0,87,2655,2742
/Satoshi:29.1.0/Knots:20250903/,Bitcoin Knots,v29,v29.1.0,48,999,1047
/Satoshi:30.2.0/,Bitcoin Core,v30,v30.2.0,1063,12244,13307
/Satoshi:29.3.0/Knots:20260210/,Bitcoin Knots,v29,v29.3.0,232,4411,4643
/Satoshi:28.1.0/,Bitcoin Core,v28,v28.1.0,768,7562,8330
/Satoshi:0.21.1/,Bitcoin Core,v0.21,v0.21.1,25,588,613
/Satoshi:25.0.0/,Bitcoin Core,v25,v25.0.0,93,2328,2421
/Satoshi:30.0.0/,Bitcoin Core,v30,v30.0.0,441,6278,6719
/Satoshi:29.1.0/,Bitcoin Core,v29,v29.1.0,108,3442,3550
/Satoshi:29.2.0/Knots:20251010/,Bitcoin Knots,v29,v29.2.0,33,477,510
/Satoshi:27.0.0/,Bitcoin Core,v27,v27.0.0,778,10793,11571
/Satoshi:27.1.0/,Bitcoin Core,v27,v27.1.0,114,2017,2131
/Satoshi:29.3.0/,Bitcoin Core,v29,v29.3.0,38,1632,1670
/Satoshi:0.7.2/,Bitcoin Core,v0.7,v0.7.2,0,77,77
/Satoshi:29.2.0/Knots:20251110+bip110-v0.1rc3/UASF-BIP110:0.1/,BIP110,v29,v29.2.0,32,558,590
/Satoshi:28.0.0/,Bitcoin Core,v28,v28.0.0,119,1891,2010
/Satoshi:29.2.0/Knots:20251110/,Bitcoin Knots,v29,v29.2.0,167,2157,2324
/Satoshi:29.2.0/Knots:20251110+bip110-v0.1/UASF-BIP110:0.1/,BIP110,v29,v29.2.0,33,511,544
/Satoshi:24.0.1/,Bitcoin Core,v24,v24.0.1,75,1118,1193
/Satoshi:25.1.0/,Bitcoin Core,v25,v25.1.0,362,1029,1391
/Satoshi:26.0.0/,Bitcoin Core,v26,v26.0.0,78,1265,1343
/Satoshi:25.0/,Bitcoin Core,v25,v25.0,0,1,1
/Satoshi:28.1.0/Knots:20250305/,Bitcoin Knots,v28,v28.1.0,81,1251,1332
/Satoshi:31.0.0/,Bitcoin Core,v31,v31.0.0,154,841,995
/Satoshi:0.21.0/,Bitcoin Core,v0.21,v0.21.0,8,112,120
/Satoshi:29.3.0/Knots:20260210+bip110-v0.2/UASF-BIP110:0.1/,BIP110,v29,v29.3.0,1,5,6
/Satoshi:24.1.0/,Bitcoin Core,v24,v24.1.0,6,25,31
/Satoshi:0.17.1/,Bitcoin Core,v0.17,v0.17.1,5,28,33
/Satoshi:0.12.0/,Bitcoin Core,v0.12,v0.12.0,0,6,6
/Satoshi:0.17.2/,Bitcoin Core,v0.17,v0.17.2,2,2,4
/Satoshi:29.3.0/Knots:20260210/UASF-BIP110:0.4/,BIP110,v29,v29.3.0,13,127,140
/Satoshi:30.99.0/,Bitcoin Core,v30,v30.99.0,14,103,117
/Satoshi:23.2.0/,Bitcoin Core,v23,v23.2.0,0,6,6
/Satoshi:23.0.0/,Bitcoin Core,v23,v23.0.0,22,326,348
/Satoshi:28.99.0/,Bitcoin Core,v28,v28.99.0,4,26,30
/Satoshi:0.12.1/,Bitcoin Core,v0.12,v0.12.1,2,17,19
/Satoshi:0.20.0/,Bitcoin Core,v0.20,v0.20.0,2,59,61
/Satoshi:28.2.0/,Bitcoin Core,v28,v28.2.0,13,72,85
/Satoshi:28.4.0/,Bitcoin Core,v28,v28.4.0,8,27,35
/Satoshi:29.99.0/,Bitcoin Core,v29,v29.99.0,9,15,24
/Satoshi:0.15.1/,Bitcoin Core,v0.15,v0.15.1,2,38,40
/Satoshi:26.1.0/,Bitcoin Core,v26,v26.1.0,10,143,153
/Satoshi:22.1.0/,Bitcoin Core,v22,v22.1.0,1,28,29
/Satoshi:0.15.0.1/,Bitcoin Core,v0.15,v0.15.0,0,23,23
/Satoshi:0.19.1/,Bitcoin Core,v0.19,v0.19.1,2,36,38
/Satoshi:0.20.1/,Bitcoin Core,v0.20,v0.20.1,9,93,102
/Satoshi:0.17.0/,Bitcoin Core,v0.17,v0.17.0,1,13,14
/btcwire:0.5.0/neutrino:0.12.0-beta/,btcsuite,,,0,47,47
/Satoshi:29.3.0/Knots:20260210+bip110-v0.3/UASF-BIP110:0.1/RUG THE SPAMMERS/,BIP110,v29,v29.3.0,0,1,1
/Satoshi:25.2.0/,Bitcoin Core,v25,v25.2.0,4,30,34
/Satoshi:0.0.156.64/,Bitcoin Core,v0.0,v0.0.156,0,45,45
/Satoshi:27.2.0/,Bitcoin Core,v27,v27.2.0,22,199,221
/CKCoinD:29.3.0/,other,,,2,1,3
/Satoshi:26.2.0/,Bitcoin Core,v26,v26.2.0,21,125,146
/Satoshi:29.2.0/Knots:20251110/UASF-BIP110:0.1/,BIP110,v29,v29.2.0,0,90,90
/Satoshi:0.18.0/,Bitcoin Core,v0.18,v0.18.0,11,38,49
/Satoshi:24.0.0/,Bitcoin Core,v24,v24.0.0,3,13,16
/Satoshi:0.16.2/,Bitcoin Core,v0.16,v0.16.2,1,12,13
/GrayersDad:knots+bip110-v0.4.1/,BIP110,,,2,0,2
/Satoshi:29.3.0/Knots:20260210+bip110-v0.4.1/UASF-BIP110:0.4/BIP-110-LETS-GO/,BIP110,v29,v29.3.0,0,1,1
/Satoshi:29.2.0/Knots:20251110+bip110-v0.1rc1/UASF-BIP110:0.1/,BIP110,v29,v29.2.0,0,6,6
/Satoshi:29.3.0/UASF-BIP110:0.1/,BIP110,v29,v29.3.0,0,5,5
